Frequency[MHz]	Power on tag reverse (dBm)-Group_7_4pcs
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	 
831.0	 
832.0	 
833.0	 
834.0	 
835.0	-36.938
836.0	-36.886
837.0	-36.834
838.0	-36.782
839.0	-36.731
840.0	-36.679
841.0	-36.639
842.0	-36.599
843.0	-36.559
844.0	-36.519
845.0	-36.479
846.0	-36.500
847.0	-36.521
848.0	-36.543
849.0	-36.564
850.0	-36.585
851.0	-36.489
852.0	-36.394
853.0	-36.298
854.0	-36.202
855.0	-36.106
856.0	-36.129
857.0	-36.153
858.0	-36.176
859.0	-36.199
860.0	-36.222
861.0	-36.129
862.0	-36.036
863.0	-35.942
864.0	-35.849
865.0	-35.756
866.0	-35.827
867.0	-35.898
868.0	-35.970
869.0	-36.041
870.0	-36.113
871.0	-36.036
872.0	-35.959
873.0	-35.882
874.0	-35.805
875.0	-35.728
876.0	-35.738
877.0	-35.748
878.0	-35.758
879.0	-35.768
880.0	-35.778
881.0	-35.785
882.0	-35.792
883.0	-35.799
884.0	-35.806
885.0	-35.812
886.0	-35.775
887.0	-35.737
888.0	-35.699
889.0	-35.662
890.0	-35.624
891.0	-35.602
892.0	-35.580
893.0	-35.557
894.0	-35.535
895.0	-35.513
896.0	-35.520
897.0	-35.527
898.0	-35.534
899.0	-35.541
900.0	-35.548
901.0	-35.507
902.0	-35.467
903.0	-35.426
904.0	-35.385
905.0	-35.345
906.0	-35.380
907.0	-35.416
908.0	-35.452
909.0	-35.487
910.0	-35.523
911.0	-35.459
912.0	-35.395
913.0	-35.331
914.0	-35.267
915.0	-35.203
916.0	-35.210
917.0	-35.216
918.0	-35.222
919.0	-35.229
920.0	-35.235
921.0	-35.210
922.0	-35.185
923.0	-35.160
924.0	-35.134
925.0	-35.109
926.0	-35.119
927.0	-35.129
928.0	-35.139
929.0	-35.149
930.0	-35.159
931.0	-35.161
932.0	-35.162
933.0	-35.164
934.0	-35.165
935.0	-35.166
936.0	-35.162
937.0	-35.158
938.0	-35.154
939.0	-35.150
940.0	-35.146
941.0	-35.149
942.0	-35.153
943.0	-35.157
944.0	-35.161
945.0	-35.165
946.0	-35.136
947.0	-35.107
948.0	-35.079
949.0	-35.050
950.0	-35.021
951.0	-35.002
952.0	-34.982
953.0	-34.962
954.0	-34.943
955.0	-34.923
956.0	-34.935
957.0	-34.948
958.0	-34.960
959.0	-34.972
960.0	-34.984
961.0	-34.975
962.0	-34.967
963.0	-34.958
964.0	-34.949
965.0	-34.940
966.0	-34.926
967.0	-34.912
968.0	-34.898
969.0	-34.884
970.0	-34.870
971.0	-34.888
972.0	-34.907
973.0	-34.926
974.0	-34.944
975.0	-34.963
976.0	-34.993
977.0	-35.023
978.0	-35.053
979.0	-35.083
980.0	-35.113
981.0	-35.015
982.0	-34.917
983.0	-34.820
984.0	-34.722
985.0	-34.624
986.0	-34.773
987.0	-34.922
988.0	-35.071
989.0	-35.221
990.0	-35.370
991.0	-35.061
992.0	-34.753
993.0	-34.445
994.0	-34.137
995.0	-33.828
996.0	-33.777
997.0	-33.727
998.0	-33.676
999.0	-33.625
1000.0	-33.574
