Frequency[MHz]	Power on tag reverse (dBm)-Group_7_16pcs
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	-37.002
821.0	-36.954
822.0	-36.906
823.0	-36.858
824.0	-36.809
825.0	-36.761
826.0	-36.738
827.0	-36.715
828.0	-36.692
829.0	-36.669
830.0	-36.646
831.0	-36.613
832.0	-36.581
833.0	-36.548
834.0	-36.516
835.0	-36.484
836.0	-36.478
837.0	-36.473
838.0	-36.468
839.0	-36.462
840.0	-36.457
841.0	-36.332
842.0	-36.208
843.0	-36.083
844.0	-35.958
845.0	-35.834
846.0	-35.846
847.0	-35.859
848.0	-35.871
849.0	-35.884
850.0	-35.896
851.0	-35.834
852.0	-35.771
853.0	-35.709
854.0	-35.646
855.0	-35.584
856.0	-35.592
857.0	-35.600
858.0	-35.607
859.0	-35.615
860.0	-35.623
861.0	-35.605
862.0	-35.587
863.0	-35.568
864.0	-35.550
865.0	-35.532
866.0	-35.507
867.0	-35.482
868.0	-35.457
869.0	-35.432
870.0	-35.407
871.0	-35.317
872.0	-35.227
873.0	-35.137
874.0	-35.047
875.0	-34.957
876.0	-34.973
877.0	-34.990
878.0	-35.006
879.0	-35.023
880.0	-35.039
881.0	-35.006
882.0	-34.973
883.0	-34.940
884.0	-34.907
885.0	-34.874
886.0	-34.884
887.0	-34.894
888.0	-34.904
889.0	-34.914
890.0	-34.924
891.0	-34.875
892.0	-34.826
893.0	-34.778
894.0	-34.729
895.0	-34.680
896.0	-34.688
897.0	-34.696
898.0	-34.704
899.0	-34.711
900.0	-34.719
901.0	-34.677
902.0	-34.636
903.0	-34.594
904.0	-34.552
905.0	-34.510
906.0	-34.561
907.0	-34.613
908.0	-34.664
909.0	-34.715
910.0	-34.767
911.0	-34.704
912.0	-34.641
913.0	-34.578
914.0	-34.515
915.0	-34.452
916.0	-34.433
917.0	-34.414
918.0	-34.395
919.0	-34.376
920.0	-34.357
921.0	-34.359
922.0	-34.361
923.0	-34.364
924.0	-34.366
925.0	-34.369
926.0	-34.373
927.0	-34.378
928.0	-34.382
929.0	-34.387
930.0	-34.391
931.0	-34.376
932.0	-34.360
933.0	-34.345
934.0	-34.329
935.0	-34.314
936.0	-34.318
937.0	-34.321
938.0	-34.325
939.0	-34.329
940.0	-34.333
941.0	-34.301
942.0	-34.270
943.0	-34.238
944.0	-34.207
945.0	-34.175
946.0	-34.178
947.0	-34.181
948.0	-34.184
949.0	-34.187
950.0	-34.190
951.0	-34.185
952.0	-34.179
953.0	-34.173
954.0	-34.168
955.0	-34.162
956.0	-34.145
957.0	-34.127
958.0	-34.110
959.0	-34.093
960.0	-34.076
961.0	-34.059
962.0	-34.042
963.0	-34.025
964.0	-34.008
965.0	-33.991
966.0	-33.986
967.0	-33.981
968.0	-33.976
969.0	-33.971
970.0	-33.967
971.0	-33.947
972.0	-33.927
973.0	-33.907
974.0	-33.887
975.0	-33.866
976.0	-33.895
977.0	-33.924
978.0	-33.953
979.0	-33.981
980.0	-34.010
981.0	-34.137
982.0	-34.264
983.0	-34.392
984.0	-34.519
985.0	-34.646
986.0	-34.316
987.0	-33.987
988.0	-33.657
989.0	-33.327
990.0	-32.997
991.0	-33.216
992.0	-33.434
993.0	-33.653
994.0	-33.871
995.0	-34.089
996.0	-33.817
997.0	-33.545
998.0	-33.273
999.0	-33.001
1000.0	-32.729
