Frequency[MHz]	Theoretical read range reverse (m/ft)-Group_7_8pcs
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	2.074
831.0	2.072
832.0	2.071
833.0	2.069
834.0	2.067
835.0	2.065
836.0	2.071
837.0	2.076
838.0	2.081
839.0	2.087
840.0	2.092
841.0	2.111
842.0	2.129
843.0	2.148
844.0	2.167
845.0	2.185
846.0	2.182
847.0	2.179
848.0	2.176
849.0	2.173
850.0	2.169
851.0	2.167
852.0	2.165
853.0	2.163
854.0	2.161
855.0	2.159
856.0	2.162
857.0	2.165
858.0	2.168
859.0	2.170
860.0	2.173
861.0	2.177
862.0	2.180
863.0	2.184
864.0	2.188
865.0	2.191
866.0	2.194
867.0	2.198
868.0	2.201
869.0	2.204
870.0	2.208
871.0	2.224
872.0	2.239
873.0	2.255
874.0	2.271
875.0	2.287
876.0	2.293
877.0	2.299
878.0	2.306
879.0	2.312
880.0	2.318
881.0	2.321
882.0	2.325
883.0	2.328
884.0	2.331
885.0	2.335
886.0	2.336
887.0	2.338
888.0	2.340
889.0	2.342
890.0	2.343
891.0	2.339
892.0	2.334
893.0	2.329
894.0	2.325
895.0	2.320
896.0	2.310
897.0	2.301
898.0	2.292
899.0	2.282
900.0	2.273
901.0	2.284
902.0	2.296
903.0	2.307
904.0	2.318
905.0	2.330
906.0	2.321
907.0	2.312
908.0	2.303
909.0	2.294
910.0	2.286
911.0	2.291
912.0	2.297
913.0	2.302
914.0	2.308
915.0	2.314
916.0	2.317
917.0	2.320
918.0	2.323
919.0	2.326
920.0	2.329
921.0	2.331
922.0	2.333
923.0	2.334
924.0	2.336
925.0	2.338
926.0	2.328
927.0	2.319
928.0	2.309
929.0	2.300
930.0	2.290
931.0	2.293
932.0	2.296
933.0	2.298
934.0	2.301
935.0	2.304
936.0	2.305
937.0	2.306
938.0	2.306
939.0	2.307
940.0	2.308
941.0	2.297
942.0	2.286
943.0	2.275
944.0	2.264
945.0	2.253
946.0	2.258
947.0	2.263
948.0	2.268
949.0	2.274
950.0	2.279
951.0	2.285
952.0	2.291
953.0	2.297
954.0	2.302
955.0	2.308
956.0	2.302
957.0	2.296
958.0	2.289
959.0	2.283
960.0	2.277
961.0	2.281
962.0	2.286
963.0	2.291
964.0	2.295
965.0	2.300
966.0	2.304
967.0	2.309
968.0	2.313
969.0	2.318
970.0	2.322
971.0	2.313
972.0	2.303
973.0	2.294
974.0	2.285
975.0	2.275
976.0	2.278
977.0	2.282
978.0	2.285
979.0	2.288
980.0	2.291
981.0	2.292
982.0	2.292
983.0	2.293
984.0	2.293
985.0	2.294
986.0	2.306
987.0	2.318
988.0	2.329
989.0	2.341
990.0	2.353
991.0	2.366
992.0	2.379
993.0	2.393
994.0	2.406
995.0	2.419
996.0	2.396
997.0	2.374
998.0	2.351
999.0	2.328
1000.0	2.305
