Frequency[MHz]	Theoretical read range reverse (m/ft)-Group_7_4pcs
800.0	 
801.0	 
802.0	 
803.0	 
804.0	 
805.0	 
806.0	 
807.0	 
808.0	 
809.0	 
810.0	 
811.0	 
812.0	 
813.0	 
814.0	 
815.0	 
816.0	 
817.0	 
818.0	 
819.0	 
820.0	 
821.0	 
822.0	 
823.0	 
824.0	 
825.0	 
826.0	 
827.0	 
828.0	 
829.0	 
830.0	 
831.0	 
832.0	 
833.0	 
834.0	 
835.0	2.037
836.0	2.047
837.0	2.057
838.0	2.067
839.0	2.077
840.0	2.086
841.0	2.094
842.0	2.101
843.0	2.108
844.0	2.115
845.0	2.122
846.0	2.115
847.0	2.107
848.0	2.099
849.0	2.092
850.0	2.084
851.0	2.105
852.0	2.126
853.0	2.147
854.0	2.168
855.0	2.189
856.0	2.181
857.0	2.173
858.0	2.165
859.0	2.156
860.0	2.148
861.0	2.169
862.0	2.190
863.0	2.211
864.0	2.232
865.0	2.253
866.0	2.233
867.0	2.212
868.0	2.191
869.0	2.171
870.0	2.150
871.0	2.167
872.0	2.184
873.0	2.201
874.0	2.218
875.0	2.235
876.0	2.230
877.0	2.224
878.0	2.219
879.0	2.214
880.0	2.209
881.0	2.205
882.0	2.201
883.0	2.196
884.0	2.192
885.0	2.188
886.0	2.195
887.0	2.202
888.0	2.209
889.0	2.216
890.0	2.223
891.0	2.227
892.0	2.230
893.0	2.233
894.0	2.236
895.0	2.240
896.0	2.235
897.0	2.231
898.0	2.227
899.0	2.222
900.0	2.218
901.0	2.226
902.0	2.234
903.0	2.242
904.0	2.250
905.0	2.258
906.0	2.246
907.0	2.235
908.0	2.223
909.0	2.212
910.0	2.200
911.0	2.214
912.0	2.228
913.0	2.242
914.0	2.256
915.0	2.270
916.0	2.266
917.0	2.262
918.0	2.258
919.0	2.254
920.0	2.250
921.0	2.254
922.0	2.258
923.0	2.262
924.0	2.266
925.0	2.270
926.0	2.265
927.0	2.260
928.0	2.255
929.0	2.250
930.0	2.245
931.0	2.242
932.0	2.239
933.0	2.236
934.0	2.234
935.0	2.231
936.0	2.230
937.0	2.228
938.0	2.227
939.0	2.226
940.0	2.224
941.0	2.221
942.0	2.218
943.0	2.214
944.0	2.211
945.0	2.208
946.0	2.213
947.0	2.218
948.0	2.223
949.0	2.228
950.0	2.233
951.0	2.235
952.0	2.238
953.0	2.241
954.0	2.244
955.0	2.246
956.0	2.241
957.0	2.235
958.0	2.230
959.0	2.224
960.0	2.219
961.0	2.219
962.0	2.219
963.0	2.219
964.0	2.219
965.0	2.219
966.0	2.220
967.0	2.221
968.0	2.223
969.0	2.224
970.0	2.225
971.0	2.218
972.0	2.211
973.0	2.204
974.0	2.197
975.0	2.190
976.0	2.180
977.0	2.171
978.0	2.161
979.0	2.151
980.0	2.142
981.0	2.164
982.0	2.187
983.0	2.209
984.0	2.232
985.0	2.254
986.0	2.215
987.0	2.176
988.0	2.137
989.0	2.097
990.0	2.058
991.0	2.136
992.0	2.213
993.0	2.291
994.0	2.368
995.0	2.446
996.0	2.458
997.0	2.470
998.0	2.482
999.0	2.494
1000.0	2.506
